ㄅㄚ	ba
ㄈㄡˋ	fou4
ㄈㄢ	fan
ㄈㄢˊ	fan2
ㄈㄢˇ	fan3
ㄈㄢˋ	fan4
ㄈㄣ	fen
ㄈㄣˊ	fen2
ㄈㄣˇ	fen3
ㄈㄣˋ	fen4
˙ㄈㄣ	fen5
ㄈㄤ	fang
ㄈㄤˊ	fang2
ㄈㄤˇ	fang3
ㄈㄤˋ	fang4
ㄈㄥ	feng
ㄈㄥˊ	feng2
ㄈㄥˇ	feng3
ㄈㄥˋ	feng4
ㄈㄧㄠˋ	fiao4
ㄈㄨ	fu
ㄈㄨˊ	fu2
ㄈㄨˇ	fu3
ㄈㄨˋ	fu4
ㄉㄚ	da
ㄉㄚˊ	da2
ㄉㄚˇ	da3
ㄉㄚˋ	da4
˙ㄉㄚ	da5
ㄉㄜ	de
ㄉㄜˊ	de2
˙ㄉㄜ	de5
ㄉㄞ	dai
ㄉㄞˇ	dai3
ㄉㄞˋ	dai4
ㄉㄟˇ	dei3
ㄉㄠ	dao
ㄉㄠˊ	dao2
ㄉㄠˇ	dao3
ㄉㄠˋ	dao4
ㄉㄡ	dou
ㄉㄡˊ	dou2
ㄉㄡˇ	dou3
ㄉㄡˋ	dou4
ㄉㄢ	dan
ㄉㄢˇ	dan3
ㄉㄢˋ	dan4
ㄉㄣˋ	den4
ㄉㄤ	dang
ㄉㄤˇ	dang3
ㄉㄤˋ	dang4
ㄉㄥ	deng
ㄉㄥˇ	deng3
ㄉㄥˋ	deng4
ㄉㄧ	di
ㄉㄧˊ	di2
ㄉㄧˇ	di3
ㄉㄧˋ	di4
ㄉㄧㄚˇ	dia3
ㄉㄧㄝ	die
ㄉㄧㄝˊ	die2
ㄉㄧㄝˇ	die3
ㄉㄧㄝˋ	die4
ㄉㄧㄠ	diao
ㄉㄧㄠˇ	diao3
ㄉㄧㄠˋ	diao4
ㄉㄧㄡ	diu
ㄉㄧㄢ	dian
ㄉㄧㄢˊ	dian2
ㄉㄧㄢˇ	dian3
ㄉㄧㄢˋ	dian4
ㄉㄧㄥ	ding
ㄉㄧㄥˊ	ding2
ㄉㄧㄥˇ	ding3
ㄉㄧㄥˋ	ding4
ㄉㄨ	du
ㄉㄨˊ	du2
ㄉㄨˇ	du3
ㄉㄨˋ	du4
ㄉㄨㄛ	duo
ㄉㄨㄛˊ	duo2
ㄉㄨㄛˇ	duo3
ㄉㄨㄛˋ	duo4
˙ㄉㄨㄛ	duo5
ㄉㄨㄟ	dui
ㄉㄨㄟˇ	dui3
ㄉㄨㄟˋ	dui4
ㄉㄨㄢ	duan
ㄉㄨㄢˇ	duan3
ㄉㄨㄢˋ	duan4
ㄉㄨㄣ	dun
ㄉㄨㄣˇ	dun3
ㄉㄨㄣˋ	dun4
ㄉㄨㄥ	dong
ㄉㄨㄥˇ	dong3
ㄉㄨㄥˋ	dong4
ㄊㄚ	ta
ㄊㄚˇ	ta3
ㄊㄚˋ	ta4
ㄊㄜˋ	te4
ㄊㄞ	tai
ㄊㄞˊ	tai2
ㄊㄞˇ	tai3
ㄊㄞˋ	tai4
˙ㄊㄞ	tai5
ㄊㄠ	tao
ㄊㄠˊ	tao2
ㄊㄠˇ	tao3
ㄊㄠˋ	tao4
˙ㄊㄠ	tao5
ㄊㄡ	tou
